product_id: 1886
shop_id: 1
shop_name: Juba Soft
product_name: Facebook 2.0 App
price: 202020200
stock: 21
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 1777
shop_id: 1
shop_name: Juba Soft
product_name: Tiktokia App
price: 22000000
stock: 5
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 1915
shop_id: 1
shop_name: Juba Soft
product_name: PDF Reader
price: 40000
stock: 20
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 2793
shop_id: 2
shop_name: Shopia
product_name: Hand Made Sari
price: 6400
stock: 24
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 2335
shop_id: 2
shop_name: Shopia
product_name: Baby Frog
price: 350
stock: 65
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 5001
shop_id: 5
shop_name: Aarong
product_name: Cotton Panjabi
price: 1450
stock: 120
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 5002
shop_id: 5
shop_name: Aarong
product_name: Handloom Saree
price: 2200
stock: 35
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 5003
shop_id: 5
shop_name: Aarong
product_name: Leather Bag
price: 3200
stock: 0
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 5004
shop_id: 5
shop_name: Aarong
product_name: Khadi Kurti
price: 1800
stock: 30
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 6001
shop_id: 6
shop_name: Yellow
product_name: Casual Shirt
price: 1250
stock: 6
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 6002
shop_id: 6
shop_name: Yellow
product_name: Jeans Pant
price: 1800
stock: 7
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 6003
shop_id: 6
shop_name: Yellow
product_name: Graphic Tee
price: 850
stock: 2
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 6004
shop_id: 6
shop_name: Yellow
product_name: Hoodie
price: 1500
stock: 4
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 6005
shop_id: 6
shop_name: Yellow
product_name: Shorts
price: 900
stock: 5
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 7001
shop_id: 7
shop_name: Naviforce
product_name: Naviforce Analog Watch
price: 1850
stock: 6
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 7002
shop_id: 7
shop_name: Naviforce
product_name: Naviforce Digital Watch
price: 2200
stock: 5
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 7003
shop_id: 7
shop_name: Naviforce
product_name: Naviforce Chronograph Watch
price: 3500
stock: 3
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 7004
shop_id: 7
shop_name: Naviforce
product_name: Naviforce Leather Strap Watch
price: 2600
stock: 4
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 7005
shop_id: 7
shop_name: Naviforce
product_name: Naviforce Sports Watch
price: 2800
stock: 7
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 8001
shop_id: 8
shop_name: Dukpion
product_name: Polarized Sunglasses
price: 1000
stock: 7
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 8002
shop_id: 8
shop_name: Dukpion
product_name: Classic Aviator Sunglasses
price: 1200
stock: 5
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 8003
shop_id: 8
shop_name: Dukpion
product_name: UV Protection Sunglasses
price: 1400
stock: 6
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 8004
shop_id: 8
shop_name: Dukpion
product_name: Sports Sunglasses
price: 1600
stock: 4
sold_quantity: 0
total_revenue: 0.00
date_added: 16-10-2025
---
product_id: 8005
shop_id: 8
shop_name: Dukpion
product_name: Premium Metal Frame Sunglasses
price: 2000
stock: 3
sold_quantity: 0
